Min_Age,Max_Age,Min_BMI,Max_BMI,Diet_Recommendation,Nutrient_Focus,Activity_Recommendation,Vegetable_Intake,Fruit_Intake,Protein_Intake,Carbohydrate_Intake,General_Advice
0,3,13,19,"Toddler Growth & Development","Healthy Fats (for brain), Calcium, Iron, Protein","Free play, crawling, walking, and exploring for at least 60-90 minutes throughout the day.","Soft-cooked, mashed vegetables: carrots, peas, sweet potatoes.","Mashed bananas, applesauce, avocado, soft berries.","Pureed chicken/fish, beans, full-fat yogurt, scrambled eggs.","Oatmeal, whole-wheat toast strips, brown rice.","Establish regular meal times; offer a variety of textures."
4,8,13,18,"Young Child Nutrition","Complex Carbs (for energy), Calcium, Balanced Macronutrients","At least 60 minutes of active outdoor play daily (running, jumping, climbing).","Broccoli 'trees', cucumber slices, bell pepper strips, cherry tomatoes.","Apples, oranges, grapes, watermelon.","Grilled chicken strips, turkey slices, cheese sticks, lentils, milk.","Whole-wheat pasta, potatoes, quinoa.","Involve children in food prep; limit sugary snacks and juices."
9,13,14,21,"Pre-Teen Balanced Growth","Calcium, Iron, Protein (for growth), Fiber","60 minutes of daily activity: team sports, cycling, swimming, or dancing.","Leafy greens (spinach), corn, green beans, salads with light dressing.","All fruits are great; encourage variety and whole fruits over juice.","Lean beef, tofu, chickpeas, fish (tuna, salmon), nuts and seeds.","Whole-grain breads, brown rice, oats, fortified cereals.","Encourage mindful eating and listen to hunger cues."
14,18,0,18.4,"Teen - Underweight","Calorie-dense, High Protein, Healthy Fats","Focus on strength training to build muscle (3-4 times/week); supplement with team sports or cardio.","Starchy vegetables like potatoes, corn, and peas, plus avocado.","Dried fruits, bananas, mangoes, smoothies with nut butter or protein powder.","Protein shakes, nuts, seeds, fatty fish (salmon), chicken thighs, steak.","Increase portions of rice, pasta, and whole-grain bread.","Eat 5-6 smaller, nutrient-dense meals and snacks throughout the day."
14,18,18.5,24.9,"Teen - Healthy Weight","Balanced Macronutrients, Iron, Calcium, Fiber","Mix of cardio (sports, running) and strength activities, 60 minutes on most days.","A wide variety of colorful vegetables; aim for 3-5 servings daily.","2-4 servings of various fruits daily.","Lean proteins like chicken breast, fish, tofu, beans, and eggs.","Portion-controlled whole grains like quinoa, oats, and brown rice.","Limit fast food and processed snacks; focus on whole foods."
14,18,25,100,"Teen - Overweight/Obese","High Protein, High Fiber, Reduced Simple Carbs","Aim for 60 minutes of moderate-to-vigorous activity daily. Find enjoyable activities like hiking or team sports.","Non-starchy vegetables are key: broccoli, cauliflower, zucchini, leafy greens.","Berries, apples, pears (high fiber). Limit high-sugar fruits and juices.","Focus on lean protein sources to stay full: grilled chicken, fish, eggs, legumes.","Limit refined carbs (white bread, pasta) and sugars; choose whole grains.","Practice portion control and eliminate sugary drinks completely."
19,30,0,18.4,"Young Adult - Underweight","High Protein, Calorie-dense, Healthy Fats","Consistent strength training (3-5 times/week) is crucial. Add moderate cardio for heart health.","Incorporate calorie-rich vegetables like sweet potatoes and avocados.","Smoothies with fruit, yogurt, and protein powder. Bananas and mangoes.","Increase intake of all protein sources: red meat, poultry, fish, eggs, dairy, legumes, protein supplements.","Don't shy away from carbs; they fuel workouts. Focus on complex carbs.","Add healthy calorie boosters like olive oil, nuts, and seeds to meals."
19,30,18.5,24.9,"Young Adult - Healthy Weight","Balanced Macronutrients, High Fiber, Vitamins & Minerals","150 minutes of moderate cardio OR 75 minutes of vigorous cardio per week, plus 2+ strength training sessions.","A wide variety of colorful vegetables; aim for 5 servings daily.","2-3 servings of various fruits daily.","Lean proteins like chicken breast, fish, tofu, beans, and Greek yogurt.","Portion-controlled whole grains like quinoa, oats, and brown rice.","Maintain consistent eating habits and stay hydrated. Limit alcohol."
19,30,25,29.9,"Young Adult - Overweight","High Protein, High Fiber, Calorie Deficit","Increase daily activity (NEAT). Aim for 30-60 minutes of moderate cardio on most days.","Fill half your plate with non-starchy vegetables to increase volume and satiety.","Focus on low-sugar, high-fiber fruits like berries and apples.","Ensure adequate lean protein at every meal to preserve muscle and stay full.","Reduce refined carbs and sugars. Measure portions of whole grains.","Meal prep can help with portion control and avoiding unhealthy choices."
19,30,30,34.9,"Young Adult - Obesity Class I","High Fiber, Lean Protein, Significant Calorie Deficit","300+ minutes of moderate cardio per week is recommended. Incorporate strength training. Consult a professional.","Focus heavily on high-volume, low-calorie vegetables (salads, steamed veggies).","Limit fruit to 1-2 servings of low-sugar options per day.","Prioritize very lean protein: egg whites, fish, skinless chicken breast, lentils.","Strictly limit or eliminate sugar, white flour, and processed foods.","Hydration is crucial for managing hunger. Consider working with a dietitian."
19,30,35,100,"Young Adult - Obesity Class II/III","Medically Supervised Diet, Very Low Calorie","Activity must be prescribed by a doctor or physical therapist. Start with low-impact options like walking or swimming.","Follow the guidance of a healthcare professional.","Follow the guidance of a healthcare professional.","Follow the guidance of a healthcare professional.","Follow the guidance of a healthcare professional.","A structured, medically supervised plan is essential for health and safety."
31,50,0,18.4,"Adult - Underweight","Calorie-dense, High Protein, Healthy Fats","Focus on strength training to build and maintain muscle mass (3-4 times/week); supplement with moderate cardio.","Starchy vegetables like potatoes, corn; calorie-rich options like avocado.","Dried fruits, bananas, mangoes, smoothies with nut butter.","Protein shakes, nuts, seeds, fatty fish (salmon), chicken thighs, steak.","Increase portions of rice, pasta, and whole-grain bread.","Eat more frequent, smaller meals throughout the day to increase total calorie intake."
31,50,18.5,24.9,"Adult - Healthy Weight","Balanced Macronutrients, High Fiber, Antioxidants","Combination of moderate cardio (150 mins/week) and strength training (2-3 sessions/week) to fight metabolic slowdown.","Eat the rainbow: a wide variety of colorful vegetables for vitamins and antioxidants.","2-3 servings of various fruits daily.","Lean proteins like chicken breast, fish, tofu, beans, and Greek yogurt.","Portion-controlled whole grains like quinoa, oats, and brown rice.","Pay attention to portion sizes as metabolism starts to slow."
